V D Ghate School	Phulenagar
Anusayabai Sawant School	Yerwada
Rajmata Jijabai Primary School	Kasba Peth
Dadoji Kondadev Shala	Kasba Peth
N V Gdgil Vidyamandir	Shaniwar Peth
Sapikaben Shala	Bhavani Peth
Marandey Shala	Bhavani Peth
Gogate Prashala	Narayan Peth
Vidyaniketan School	Shukrawar Peth
Sant Namdeo School	Maharshi Nagar
Sant Dnyandev School	Maharshi Nagar
Sant Dnyaneshwar School	Yerwada
Netaji Subhashchandra Bose School	Yerwada
Acharya Atre School	Yerwada
Babu Jagjivanram School	Gandhinagar
Subhedar Maloji Ambedkar School	Yerwada
Yashwantrao Chavan School	Yerwada
Colonel Young School	Yerwada
Nanasaheb Parulekar School	PhuleNagar
Jail Karmachari School	Yerwada
Viththalrao Gadgil School	Vishrantwadi
Dr Ambedkar School	wakdewadi
Annasaheb Shinde School	Ghorpade Peth
Bholagir School	Somwar Peth
Jakir Husain Scool	Bopodi
Parvatibai Chajed School	Bopodi
Indira Gandhi School	Aundh
Baburao Sanas School	Mangalwar Peth
Rajashree Shahu Maharaj Vidyalaya	Mundhawa
Mahatma Gandhi School	Ghorpade Peth
Bunter School	Hadapasar
Sant Ramdas School	Shivajinagar
Kanhoji Angre School	Shukrawar Peth
Lal Bahadur Shastri School	Shivajinagar
Sitaram Bibawe School	Bibwewadi
Rafi Ahmad Kidwai School	Bhawani Peth
Sawitribai Phule School	Bhavani Peth
Mahadaji Shinde School	Wanorie
Papasheth Khanna School	Gultekadi
Sane Guruji School	Waiduwadi
Genaba Moze School	Yerwada
Shahid Abdul Hamid Urdu School	Yerwada
ShirishKumar Vidyalaya	Model Colony
Sarjerao Salave School	Ambilodha
K C Thakare School	Rasta Peth
Vidyapith School	Pune University
Sant Gadge Maharaj School	Kondhawa Kh.
Kasturba Gandhi School	Koregaon Park
Dadasaheb Gaikwad School	Pune Station
Ravindranath Tagore Vidyalaya	Mangalwar Peth
Jhashichi Rani Vidyalaya	Vishrambaug Wada
Babu Genu School	Bibwewadi
Shantabai Ladkat School	Nana Peth
Katraj School	KATRAJ
Dhanori School	Dhanori
Bhagojirao Barne School	Mangalvar Peth
Parvati Darshan School	Parvati Darshan
Chatrapati Shivaji Technical School	Shukrawar peth
Sandesh Nagar School	Sandesh Nagar
S G Barve School	Rasta Peth
Anusayabai Khilare	Erandwane
V S Khandekar School	Sahakarnagar
Warje Ramnagar School	Warje
Digambarwadi School	Warje
SidharthNagar School	N.I.B.M. Road
Ahire Punarwasan School	Warje
Harakadas School	Bhangi Hatti
Someshwarwadi School	Someshwarwadi
Sopanrao Baburao Katake School	Baner
